url,title,brand,description,product_id,price,currency,item_condition,availability,color,sku,breadcrumbs,average_rating,total_ratings,uniq_id,scraped_at
https://athleta.gap.com/browse/product.do?pid=985114,Venice Textured Jogger,Athleta,"FOR: Commuting, work, and travel FEEL: Textured fabric has all&#45way stretch with subtle shine FAVE: Easy&#45access pockets to stash your essentials",985114,98.00,USD,NewCondition,InStock,Wavy Dash Black,9851140020002,Bottoms/Pants,4.48,42,d85bc282-d3e4-50a9-82ac-bbcbb645ae57,26/12/2021 22:25:00
https://athleta.gap.com/browse/product.do?pid=984543,Reverie Mock Neck Sweater,Athleta,"FOR: Commuting, work, and travel FEEL: Dash Flux blend is luxuriously soft and breathable FAVE: Matches back to the Reverie Sweater Pant",984543,129.00,USD,NewCondition,InStock,Sea Salt,9845430120000,/,,0,48f535de-680a-5858-819a-9ae1b14d9faf,26/12/2021 22:25:01
https://athleta.gap.com/browse/product.do?pid=982008,Organic Daily Camo Tee,Athleta,"FOR: Commuting, work, and travel FEEL: Organic cotton is lightweight and breathable FAVE: Soft, easy tee made with organic fibers is the perfect everyday essential",982008,35.99,USD,NewCondition,InStock,Fog Camo Snowfall,9820080120000,Tops/Short Sleeve,4.38,16,67a99786-402c-5537-8836-ae46cb937f80,26/12/2021 22:25:01
https://athleta.gap.com/browse/product.do?pid=980099,Athleta Girl Adjustable Everyday Non Medical Masks 5 Pack,Athleta,"Soft, breathable non&#45medical mask Assortment of five colors in each pack &#45 assortment of colors will vary and may not reflect what's pictured LIMIT 5 PACKS: Please limit your purchase to 5 packs per person, so we can support as many members of our community as possible. SHIPPING: We're working as hard as we can to ship these items, but taking care takes time-thank you for your patience. DOING OUR PART: We&#39re also donating 100,000 non&#45medical masks to a major healthcare organization in support of our heroes on the front line. This is not a medical&#45grade mask and is not intended as a replacement for medical&#45grade equipment or other recommended measures to stop the community spread of any viruses, including social distancing, washing your hands and refraining from touching your face. This is not an FDA approved product. This product makes no claims of antimicrobial protection, antiviral protection, particulate filtration, or infection prevention or reduction. This product is not intended for use in a medical setting. WARNING: CHOKING HAZARD  - small parts. Not for children under 3 years  This mask should not be placed on young children under age 3, anyone who has trouble breathing, or is unconscious, incapacitated or otherwise unable to remove the mask without assistance. ",980099,25.00,USD,NewCondition,InStock,Black,9800990520000,Athleta Girl/All Girl,4.49,716,e171c9d9-4289-5084-ab02-c1575e9efa53,26/12/2021 22:25:01
https://athleta.gap.com/browse/product.do?pid=531288,Salutation Jogger,Athleta,"FOR: Life on and off the mat FEEL: Powervita&#153 fabric is buttery soft with support that feels like a gentle hug FAVE: Curved seam on bottom flatters your form Shop the Camo Salutation Jogger <a href=/browse/product.do?pid=627874&mlink=34,Copy_627874_627874&clink=34><u>here</a></u>",531288,89.00,USD,NewCondition,InStock,Grey Heather,5312881220000,Bottoms/Pants,4.65,3849,b661ff6d-f72d-57b6-96ac-8e4602ba4429,26/12/2021 22:25:02
https://athleta.gap.com/browse/product.do?pid=530523,Momentum Tee,Athleta,"FOR: Medium to high impact workouts at the gym, studio or outdoors FEEL: ionic+&#153 technology with naturally occurring antimicrobial silver ions knit in the fabric eliminates odor before it starts. FAVE: Seamless construction for maximum comfort and minimal chafing",530523,59.00,USD,NewCondition,InStock,Charcoal Grey Heather,5305230020000,Tops/Short Sleeve,4.79,97,06defadd-39a0-556e-bf94-4ffadcbc7d77,26/12/2021 22:25:03
https://athleta.gap.com/browse/product.do?pid=405950,Freestyle Colorblock Bikini Bottom,Athleta,"FOR: Lap swimming, triathlon training, and tough amphibious workouts FEEL: Recycled swim fabric is sleek and stretchy FAVE: Adjustable drawstring for a custom fit",405950,14.99,USD,NewCondition,InStock,Blue Colorblock,4059500520000,Swim/Swim Bottoms,4.35,57,e7dc037d-e5e9-56e3-ad02-b893be356a96,26/12/2021 22:25:03
https://athleta.gap.com/browse/product.do?pid=657868,Uptown Shirt,Athleta,"FOR: Commuting, work, and travel FEEL: Smooth, lightweight poplin with easy stretch FAVE: Slim fit for a more layerable, polished look",657868,98.00,USD,NewCondition,InStock,Bright White,6578680020000,Tops/All Tops,3.75,32,29665a3a-0728-509a-b5ba-6a06d07aafe2,26/12/2021 22:25:03
https://athleta.gap.com/browse/product.do?pid=983950,Shanti Eyelet Top,Athleta,FOR: Yoga or studio practice FEEL: Powervita&#153 fabric is buttery soft with support that feels like a gentle hug FAVE: Limited&#45edition eyelet detail,983950,65.00,USD,NewCondition,InStock,Begonia Blue Star,9839500120000,Tops/Long Sleeve,4.8,10,09e39a78-2dd6-5f94-bedf-f64d499316e0,26/12/2021 22:25:04
https://athleta.gap.com/browse/product.do?pid=531217,Bra Cup Square Neck Bikini Top,Athleta,"FOR: Swim, surf, stand&#45up paddleboard, and all water sports FEEL: Recycled H&#x2082;ECO fabric is smooth and sleek with powerful stretch FAVE: Hidden underwire design supports like your favorite bra",531217,64.00,USD,NewCondition,InStock,Black,5312170024558,Swim/Bikini Tops,4.56,203,0a0fea1c-9013-540a-b12e-028dd89b1003,26/12/2021 22:25:04
